;grid=25x25:extent=(-36.0000,36,-36,36.0000):X_lbl=p_y:Y_lbl=p_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    #,   Plate Y,   Plate X,  Seconds,       i0,       i1,      mon,    bstop,    Omron,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,    PRESS,   lvdt11,   lvdt12,   lvdt21,   lvdt22,   lvdt31,   lvdt32,   lvdt41,   lvdt42,   CTEMPB
12,0,-36,30,4498146,2127262,1399,0,0,0,0,0,33.901298,105330,95940,20816,4173,16825,3159,2434,791,0,0,0,0,0,0,0,0,0,-1,81883.532,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,-12,-33,30,4509173,2133151,1339,0,15031784,0,0,0,34.026193,110850,100260,23281,4080,20192,3507,2557,653,0,0,0,0,0,0,0,0,0,-1,81919.598,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,-9,-33,30,4534287,2146299,1458,0,15030023,0,0,0,33.955406,111600,101010,23733,4169,19649,3496,2546,694,0,0,0,0,0,0,0,0,0,-1,81954.781,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,-6,-33,30,4536797,2139100,1332,0,15031408,0,0,0,33.917145,112080,101580,23348,4309,18728,3366,2567,719,0,0,0,0,0,0,0,0,0,-1,81990.058,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,-3,-33,30,4543918,2143154,1350,0,15026645,0,0,0,33.969393,108660,98640,23570,4305,17534,3049,2626,690,0,0,0,0,0,0,0,0,0,-1,82025.272,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,-33,30,4532609,2123599,1393,0,15030084,0,0,0,33.92252,108510,98940,23458,4169,16636,3092,2597,786,0,0,0,0,0,0,0,0,0,-1,82060.478,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3,-33,30,4524674,2131835,1451,0,15032221,0,0,0,34.110688,106290,96450,23222,4560,15618,2826,2739,836,0,0,0,0,0,0,0,0,0,-1,82095.819,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,6,-33,30,4518581,2126896,1317,0,15036182,0,0,0,34.012431,105030,95670,22964,4476,14831,2701,2678,838,0,0,0,0,0,0,0,0,0,-1,82131.097,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,9,-33,30,4502486,2123129,1296,0,15025489,0,0,0,33.978155,103920,94650,22469,4418,13861,2531,2605,865,0,0,0,0,0,0,0,0,0,-1,82166.309,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,12,-33,30,4492640,2116982,1395,0,15013953,0,0,0,33.84796,103860,94560,22326,4441,12900,2355,2588,845,0,0,0,0,0,0,0,0,0,-1,82201.435,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
