x,y,fwhm_IA_
-31.64,-9.04,0.565600391266217
-31.64,-4.52,0.550443105608133
-31.64,0,0.590904173486523
-31.64,4.52,0.558430363742477
-31.64,9.04,0.598072542865554
-27.12,-18.08,0.55555026319072
-27.12,-13.56,0.536345171071411
-27.12,-9.04,0.56378158295126
-27.12,-4.52,0.513067937526293
-27.12,0,0.500956249882516
-27.12,4.52,0.556841626946105
-27.12,9.04,0.379199667109259
-27.12,13.56,0.436839566281232
-27.12,18.08,0.500705727371405
-22.6,-22.6,0.539052444937261
-22.6,-18.08,0.526338836011541
-22.6,-13.56,0.62998279632837
-22.6,-9.04,0.525809553898772
-22.6,-4.52,0.551861423684812
-22.6,0,0.44117937086724
-22.6,4.52,0.493731026839907
-22.6,9.04,0.3877692502458
-22.6,13.56,0.49870984137339
-22.6,18.08,0.397177487998933
-22.6,22.6,0.448690106410582
-18.08,-27.12,0.580142756072245
-18.08,-22.6,0.460279364968657
-18.08,-18.08,0.457160131139065
-18.08,-13.56,0.573754592461093
-18.08,-9.04,0.618129477187867
-18.08,-4.52,0.50354282143467
-18.08,0,0.44717410403699
-18.08,4.52,0.440282452895243
-18.08,9.04,0.391579765796812
-18.08,13.56,0.491601217591014
-18.08,18.08,0.36956313193447
-18.08,22.6,0.363075358577881
-18.08,27.12,0.45937250332155
-13.56,-27.12,0.495108561402237
-13.56,-22.6,0.534497736018279
-13.56,-18.08,0.508444242999782
-13.56,-13.56,0.45060511125196
-13.56,-9.04,0.460730013094528
-13.56,-4.52,0.53406499357612
-13.56,0,0.462274653579427
-13.56,4.52,0.472376516761627
-13.56,9.04,0.491102386637501
-13.56,13.56,0.418290058840368
-13.56,18.08,0.308050482343811
-13.56,22.6,0.475443873340507
-13.56,27.12,0.270125296201062
-9.04,-31.64,0.47073806352557
-9.04,-27.12,0.440966923706601
-9.04,-22.6,0.446882242840123
-9.04,-18.08,0.437408419827872
-9.04,-13.56,0.431041315473607
-9.04,-9.04,0.435060348924778
-9.04,-4.52,0.461132907623985
-9.04,0,0.42827799614053
-9.04,4.52,0.413946066253683
-9.04,9.04,0.354406877542182
-9.04,13.56,0.451239865486392
-9.04,18.08,0.47926313321528
-9.04,22.6,0.429156276719634
-9.04,27.12,0.340086076119137
-9.04,31.64,0.0441501370870152
-4.52,-31.64,0.450459402813986
-4.52,-27.12,0.357544177932349
-4.52,-22.6,0.326060338473979
-4.52,-18.08,0.375891462681276
-4.52,-13.56,0.315384617274438
-4.52,-9.04,0.213394581055799
-4.52,-4.52,0.266462112137601
-4.52,0,0.169306561226843
-4.52,4.52,0.334080978534036
-4.52,9.04,0.322043698123616
-4.52,13.56,0.403358707497889
-4.52,18.08,NaN
-4.52,22.6,NaN
-4.52,27.12,0.411408477408936
-4.52,31.64,0.354450806559785
0,-31.64,0.320156405254005
0,-27.12,0.326278764714442
0,-22.6,0.320871879879727
0,-18.08,0.213541933520128
0,-13.56,0.0836818913793591
0,-9.04,0.0728944067600343
0,-4.52,0.0735587109188041
0,0,0.0807039592792771
0,4.52,0.088835113549246
0,9.04,0.232226899898761
