X;Y;
[mm];[mm];
-31.64;-9.04;
-31.64;-4.52;
-31.64;0;
-31.64;4.52;
-31.64;9.04;
-27.12;-18.08;
-27.12;-13.56;
-27.12;-9.04;
-27.12;-4.52;
-27.12;0;
-27.12;4.52;
-27.12;9.04;
-27.12;13.56;
-27.12;18.08;
-22.6;-22.6;
-22.6;-18.08;
-22.6;-13.56;
-22.6;-9.04;
-22.6;-4.52;
-22.6;0;
-22.6;4.52;
-22.6;9.04;
-22.6;13.56;
-22.6;18.08;
-22.6;22.6;
-18.08;-27.12;
-18.08;-22.6;
-18.08;-18.08;
-18.08;-13.56;
-18.08;-9.04;
-18.08;-4.52;
-18.08;0;
-18.08;4.52;
-18.08;9.04;
-18.08;13.56;
-18.08;18.08;
-18.08;22.6;
-18.08;27.12;
-13.56;-27.12;
-13.56;-22.6;
-13.56;-18.08;
-13.56;-13.56;
-13.56;-9.04;
-13.56;-4.52;
-13.56;0;
-13.56;4.52;
-13.56;9.04;
-13.56;13.56;
-13.56;18.08;
-13.56;22.6;
-13.56;27.12;
-9.04;-31.64;
-9.04;-27.12;
-9.04;-22.6;
-9.04;-18.08;
-9.04;-13.56;
-9.04;-9.04;
-9.04;-4.52;
-9.04;0;
-9.04;4.52;
-9.04;9.04;
-9.04;13.56;
-9.04;18.08;
-9.04;22.6;
-9.04;27.12;
-9.04;31.64;
-4.52;-31.64;
-4.52;-27.12;
-4.52;-22.6;
-4.52;-18.08;
-4.52;-13.56;
-4.52;-9.04;
-4.52;-4.52;
-4.52;0;
-4.52;4.52;
-4.52;9.04;
-4.52;13.56;
-4.52;18.08;
-4.52;22.6;
-4.52;27.12;
-4.52;31.64;
0;-31.64;
0;-27.12;
0;-22.6;
0;-18.08;
0;-13.56;
0;-9.04;
0;-4.52;
0;0;
0;4.52;
0;9.04;
0;13.56;
0;18.08;
0;22.6;
0;27.12;
0;31.64;
4.52;-31.64;
4.52;-27.12;
4.52;-22.6;
4.52;-18.08;
4.52;-13.56;
4.52;-9.04;
4.52;-4.52;
4.52;0;
4.52;4.52;
4.52;9.04;
4.52;13.56;
4.52;18.08;
4.52;22.6;
4.52;27.12;
4.52;31.64;
9.04;-31.64;
9.04;-27.12;
9.04;-22.6;
9.04;-18.08;
9.04;-13.56;
9.04;-9.04;
9.04;-4.52;
9.04;0;
9.04;4.52;
9.04;9.04;
9.04;13.56;
9.04;18.08;
9.04;22.6;
9.04;27.12;
9.04;31.64;
13.56;-27.12;
13.56;-22.6;
13.56;-18.08;
13.56;-13.56;
13.56;-9.04;
13.56;-4.52;
13.56;0;
13.56;4.52;
13.56;9.04;
13.56;13.56;
13.56;18.08;
13.56;22.6;
13.56;27.12;
18.08;-27.12;
18.08;-22.6;
18.08;-18.08;
18.08;-13.56;
18.08;-9.04;
18.08;-4.52;
18.08;0;
18.08;4.52;
18.08;9.04;
18.08;13.56;
18.08;18.08;
18.08;22.6;
18.08;27.12;
22.6;-22.6;
22.6;-18.08;
22.6;-13.56;
22.6;-9.04;
22.6;-4.52;
22.6;0;
22.6;4.52;
22.6;9.04;
22.6;13.56;
22.6;18.08;
22.6;22.6;
27.12;-18.08;
27.12;-13.56;
27.12;-9.04;
27.12;-4.52;
27.12;0;
27.12;4.52;
27.12;9.04;
27.12;13.56;
27.12;18.08;
31.64;-9.04;
31.64;-4.52;
31.64;0;
31.64;4.52;
31.64;9.04;
